result_id,coach_id,coach_name,agent_id,agent_name,monitoring_date,transaction_date,total_score,normalized_score,reviewer_comments,Q1_answer,Q1_score,Q2_answer,Q2_score,Q3_answer,Q3_score,Q4_answer,Q4_score,Q5_answer,Q5_score,Q6_answer,Q6_score,Q7_answer,Q7_score,Q8_answer,Q8_score,Q9_answer,Q9_score,Q10_answer,Q10_score
20251226172623,1,Adam,1,Julian Vance,2025-12-01,2025-12-08,60,60.0,x,Yes,5,Yes,10,No,0,Yes,5,No,0,Yes,20,Yes,10,No,0,Yes,10,No,0
20251226173120,1,Adam,2,Clara Mendoza,2025-12-08,2025-12-09,100,100.0,z,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226173129,1,Adam,2,Clara Mendoza,2025-12-08,2025-12-09,100,100.0,z,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226173754,1,Adam,4,Elena Rossi,2025-12-07,2025-12-02,100,100.0,3,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226173818,1,Adam,4,Elena Rossi,2025-12-07,2025-12-02,100,100.0,3,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226173821,1,Adam,4,Elena Rossi,2025-12-07,2025-12-02,100,100.0,3,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226173825,1,Adam,4,Elena Rossi,2025-12-07,2025-12-02,100,100.0,3,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226173826,1,Adam,4,Elena Rossi,2025-12-07,2025-12-02,100,100.0,3,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226173903,1,Adam,4,Elena Rossi,2025-12-07,2025-12-02,100,100.0,,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226173906,1,Adam,4,Elena Rossi,2025-12-07,2025-12-02,100,100.0,,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226174041,2,Eve,4,Elena Rossi,2025-12-07,2025-12-02,100,100.0,,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226174056,2,Eve,4,Elena Rossi,2025-12-07,2025-12-02,100,100.0,,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
20251226174119,2,Eve,4,Elena Rossi,2025-12-07,2025-12-02,100,100.0,,Yes,5,Yes,10,Yes,10,Yes,5,Yes,10,Yes,20,Yes,10,Yes,10,Yes,10,Yes,10
